id,category,round,year,codprov,name_prov,listas,votos,electores,cargos
arg_presi_gral_1946,presi,gral,1946,NA,ARGENTINA,Perón - Quijano (Laborista-Unión Civica Radical Junta Renovadora Y Aliados),1487866,3405173,304
arg_presi_gral_1946,presi,gral,1946,NA,ARGENTINA,Tamborini - Mosca 	(Alianza Unión Democrática),1207080,3405173,72
arg_presi_gral_1946,presi,gral,1946,NA,ARGENTINA,Demócrata Nacional,43499,3405173,0
arg_presi_gral_1946,presi,gral,1946,NA,ARGENTINA,Unión Cívica Radical Bloquista,13469,3405173,0
arg_presi_gral_1946,presi,gral,1946,NA,ARGENTINA,Unión Cívica Radical De Santiago Del Estero,12362,3405173,0
arg_presi_gral_1946,presi,gral,1946,NA,ARGENTINA,Unión Cívica Radical Lencinista,3918,3405173,0
arg_presi_gral_1946,presi,gral,1946,NA,ARGENTINA,Otros,47558,3405173,0
arg_presi_gral_1946,presi,gral,1946,NA,ARGENTINA,Votos Blancos Y Nulos,23735,3405173,0
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Perón - Quijano (Peronista),4745168,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Balbín - Frondizi (Unión Cívica Radical),2415750,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Pastor - Solano Lima (Demócrata ),174399,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Ghioldi - De La Peña (Comunista),71318,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Palacios - Ghioldi (Socialista),54920,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Giacobini - Rivero (Salud Publica),5512,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Molinas - Díaz Arana (Demócrata Progresista),2625,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Panelon - Semiza (Concertacion Obrera),1223,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Unión Cívica Nacionalista,163,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Otros,12871,8633998,NA
arg_presi_gral_1951,presi,gral,1951,NA,ARGENTINA,Votos Blancos Y Nulos,109989,8633998,NA
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Frondizi - Gómez (Union Civica Radical Intransigente),4070398,10002327,319
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Balbín - Del Castillo (Unión Cívica Radical Del Pueblo),2617693,10002327,140
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Palacios - Sánchez Viamonte (Socialista),523545,10002327,0
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Otros,432038,10002327,7
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Ayarragaray - Sueldo (Demócrata Cristiano ),339495,10002327,0
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Molinas - Thedy (Demócrata Progresista),172842,10002327,0
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,González Iramain - Aguinaga (Demócrata),157320,10002327,0
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Solano Lima - Maldonado (Demócrata Conservador Popular),130151,10002327,0
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Peña – Zaeffer De Goyeneche 	(Cívico Independiente),54356,10002327,0
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Serrano - De Sanz (Unión Federal),15844,10002327,0
arg_presi_gral_1958,presi,gral,1958,NA,ARGENTINA,Votos En Blanco Y Nulos,783684,10002327,0
