"","name_prov","year","ganador","ganadorPais","match"
"1","BUENOS AIRES",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"2","BUENOS AIRES",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"3","BUENOS AIRES",1995,"1995 Justicialista","1995 Menem - Ruckauf",NA
"4","BUENOS AIRES",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"5","BUENOS AIRES",2003,"2003 Kirchner-Scioli (Alianza Frente Para La Victoria)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"6","BUENOS AIRES",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"7","BUENOS AIRES",2011,"2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"8","BUENOS AIRES",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"9","BUENOS AIRES",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"10","CABA",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"11","CABA",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"12","CABA",1995,"1995 Alianza Frente Del País Solidario","1995 Menem - Ruckauf",NA
"13","CABA",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"14","CABA",2003,"2003 López Murphy-Gómez Diez (Alianza Federal Para Recrear El Crecimento)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"15","CABA",2007,"2007 Carrió - Giustiniani (Alianza Confederacion Coalicion Civica)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"16","CABA",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"17","CABA",2015,"2015 Macri - Michetti (Alianza Cambiemos)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"18","CABA",2019,"2019 Macri - Pichetto (Juntos Por El Cambio)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
